image,xmin,ymin,xmax,ymax,label,tweek_sign
ch1_20150902_230432_765_s38.jpg,527,0,541,162,1,5
ch1_20150902_230432_765_s38.jpg,786,0,802,162,1,4
ch1_20150902_232933_901_s85.jpg,1066,0,1091,162,1,6
ch1_20150902_232933_901_s68.jpg,474,0,509,162,1,9
ch1_20180602_203728_547_s22.jpg,1010,0,1033,162,1,4
ch1_20150902_231933_448_s115.jpg,895,0,918,162,1,4
ch1_20150902_231933_448_s115.jpg,1063,0,1084,162,1,7
ch1_20150902_231933_448_s115.jpg,1086,0,1127,162,1,5
ch1_20150902_231933_448_s115.jpg,1150,0,1180,162,1,5
ch1_20150902_230432_765_s52.jpg,546,0,575,162,1,4
ch1_20150902_230432_765_s52.jpg,145,0,173,162,1,4
ch1_20150902_230432_765_s52.jpg,36,0,54,162,1,4
ch1_20160830_194001_403_s70.jpg,140,0,164,162,1,4
ch1_20180615_202006_477_s110.jpg,966,0,980,162,1,4
ch1_20150902_230932_991_s81.jpg,1255,0,1269,162,1,6
ch1_20180615_200505_862_s56.jpg,838,0,879,162,1,4
ch1_20160830_191500_286_s90.jpg,906,0,924,162,1,4
ch1_20180602_211229_947_s144.jpg,800,0,810,162,1,4
ch1_20160830_192500_741_s60.jpg,236,0,253,162,1,5
ch1_20160830_192500_741_s60.jpg,396,0,411,162,1,4
ch1_20180615_200005_654_s40.jpg,219,0,245,162,1,4
ch1_20180615_202006_477_s55.jpg,466,0,493,162,1,4
ch1_20180602_212230_349_s89.jpg,571,0,590,162,1,4
ch1_20180602_205229_138_s103.jpg,1092,0,1111,162,1,4
ch1_20150902_235935_260_s70.jpg,286,0,305,162,1,4
ch1_20160815_210347_173_s54.jpg,304,0,332,162,1,4
ch1_20150915_184833_399_s111.jpg,341,0,359,162,1,4
ch1_20150902_234434_583_s144.jpg,436,0,449,162,1,4
ch1_20160830_191000_059_s23.jpg,1148,0,1173,162,1,6
ch1_20180615_202506_686_s63.jpg,423,0,453,162,1,4
ch1_20150914_132212_691_s18.jpg,992,0,1011,162,1,4
ch1_20180602_204228_741_s61.jpg,1133,0,1158,162,1,6
ch1_20160830_191500_286_s117.jpg,994,0,1007,162,1,4
ch1_20160815_204346_270_s92.jpg,478,0,499,162,1,4
ch1_20150902_232933_901_s58.jpg,856,0,884,162,1,4
ch1_20150902_232433_673_s106.jpg,665,0,703,162,1,4
ch1_20150902_232433_673_s106.jpg,590,0,634,162,1,5
ch1_20160815_203846_040_s113.jpg,858,0,885,162,1,4
ch1_20160815_203846_040_s113.jpg,931,0,964,162,1,4
ch1_20150902_234434_583_s57.jpg,1308,0,1338,162,1,4
ch1_20160815_202845_581_s104.jpg,971,0,997,162,1,4
ch1_20150915_193335_458_s90.jpg,782,0,811,162,1,4
ch1_20160815_211847_860_s66.jpg,644,0,664,162,1,5
ch1_20160830_193000_969_s84.jpg,-3,0,12,162,1,4
ch1_20160830_193000_969_s84.jpg,130,0,149,162,1,4
ch1_20160830_193000_969_s84.jpg,31,0,49,162,1,4
ch1_20160830_193000_969_s84.jpg,273,0,292,162,1,4
ch1_20160815_204346_270_s35.jpg,1133,0,1167,162,1,4
ch1_20160815_205846_942_s54.jpg,1371,0,1394,162,1,4
ch1_20160815_204846_498_s15.jpg,581,0,602,162,1,4
ch1_20160815_204846_498_s15.jpg,608,0,623,162,1,6
ch1_20160815_204846_498_s15.jpg,627,0,641,162,1,6
ch1_20150902_231933_448_s102.jpg,129,0,170,162,1,4
ch1_20150902_231933_448_s102.jpg,177,0,207,162,1,4
ch1_20150902_231933_448_s102.jpg,264,0,288,162,1,4
ch1_20160815_205846_942_s42.jpg,1165,0,1188,162,1,4
ch1_20160815_205846_942_s42.jpg,1389,0,1418,162,1,6
ch1_20160815_205846_942_s42.jpg,1126,0,1164,162,1,5
ch1_20160830_192500_741_s125.jpg,478,0,504,162,1,4
ch1_20180602_211229_947_s145.jpg,1300,0,1330,162,1,4
ch1_20150927_141634_991_s14.jpg,875,0,884,162,1,5
ch1_20160830_195502_059_s16.jpg,1170,0,1191,162,1,4
ch1_20160815_204846_498_s136.jpg,72,0,88,162,1,4
ch1_20180615_202006_477_s27.jpg,54,0,92,162,1,4
ch1_20180615_202006_477_s27.jpg,136,0,179,162,1,4
ch1_20150927_135133_845_s91.jpg,957,0,968,162,1,4
ch1_20160830_193501_188_s71.jpg,254,0,271,162,1,4
ch1_20180602_212730_544_s27.jpg,992,0,1027,162,1,4
ch1_20160830_195001_847_s68.jpg,1268,0,1283,162,1,4
ch1_20150902_234934_811_s85.jpg,915,0,934,162,1,4
ch1_20160830_195001_847_s120.jpg,890,0,915,162,1,4
ch1_20150902_233934_355_s133.jpg,86,0,118,162,1,5
ch1_20180615_194505_040_s134.jpg,830,0,846,162,1,4
ch1_20180615_194505_040_s134.jpg,921,0,938,162,1,7
ch1_20180615_194505_040_s134.jpg,21,0,28,162,1,4
ch1_20180602_204728_939_s43.jpg,764,0,795,162,1,4
ch1_20160830_194001_403_s32.jpg,1017,0,1041,162,1,5
ch1_20160830_194001_403_s32.jpg,844,0,881,162,1,6
ch1_20160830_194001_403_s32.jpg,898,0,917,162,1,4
ch1_20180602_212730_544_s41.jpg,843,0,879,162,1,6
ch1_20180602_212730_544_s41.jpg,1138,0,1173,162,1,5
ch1_20150902_230932_991_s55.jpg,568,0,598,162,1,6
ch1_20150902_230932_991_s55.jpg,31,0,47,162,1,5
ch1_20180615_201006_070_s91.jpg,1027,0,1058,162,1,4
ch1_20180615_203507_097_s53.jpg,757,0,783,162,1,4
ch1_20160815_204346_270_s39.jpg,558,0,571,162,1,4
ch1_20180602_212730_544_s27.jpg,994,0,1023,162,1,4
ch1_20150902_231433_221_s58.jpg,754,0,778,162,1,4
ch1_20160815_212348_074_s116.jpg,204,0,224,162,1,4
ch1_20160830_193000_969_s16.jpg,1362,0,1381,162,1,4
ch1_20160830_193000_969_s16.jpg,1128,0,1146,162,1,4
ch1_20160830_192500_741_s113.jpg,1164,0,1204,162,1,4
ch1_20150902_232433_673_s15.jpg,424,0,455,162,1,4
ch1_20180615_200005_654_s82.jpg,1032,0,1090,162,1,4
ch1_20160830_194001_403_s104.jpg,778,0,798,162,1,4
ch1_20180602_212730_544_s103.jpg,304,0,334,162,1,5
ch1_20150902_235935_260_s3.jpg,1112,0,1141,162,1,4
ch1_20160830_191000_059_s93.jpg,448,0,488,162,1,6
ch1_20160830_193000_969_s135.jpg,999,0,1026,162,1,4
ch1_20150902_234434_583_s8.jpg,445,0,475,162,1,4
ch1_20150902_233934_355_s80.jpg,150,0,165,162,1,4
ch1_20160815_202845_581_s51.jpg,574,0,599,162,1,4
ch1_20160815_202845_581_s51.jpg,743,0,765,162,1,4
ch1_20180615_201506_272_s143.jpg,1020,0,1050,162,1,4
ch1_20180615_201506_272_s143.jpg,456,0,523,162,1,4
ch1_20150902_233434_128_s44.jpg,636,0,653,162,1,4
ch1_20150902_233434_128_s44.jpg,653,0,667,162,1,4
ch1_20160830_193000_969_s99.jpg,235,0,272,162,1,4
ch1_20150902_233434_128_s145.jpg,459,0,480,162,1,4
ch1_20180602_203228_351_s68.jpg,452,0,477,162,1,4
ch1_20150902_232933_901_s104.jpg,475,0,502,162,1,4
ch1_20150902_232933_901_s104.jpg,185,0,209,162,1,5
ch1_20160830_193000_969_s52.jpg,514,0,532,162,1,4
ch1_20160830_195001_847_s33.jpg,293,0,313,162,1,4
ch1_20160830_195001_847_s33.jpg,1117,0,1137,162,1,4
ch1_20160830_195001_847_s2.jpg,32,0,52,162,1,4
ch1_20180615_201506_272_s50.jpg,1188,0,1215,162,1,5
ch1_20150902_230932_991_s54.jpg,810,0,830,162,1,4
ch1_20160830_190459_841_s116.jpg,1102,0,1119,162,1,4
ch1_20160830_190459_841_s116.jpg,1142,0,1163,162,1,4
ch1_20150927_134133_388_s43.jpg,826,0,841,162,1,4
ch1_20160815_210847_398_s20.jpg,370,0,389,162,1,5
ch1_20160830_193000_969_s86.jpg,479,0,489,162,1,4
ch1_20160830_193000_969_s86.jpg,297,0,314,162,1,4
ch1_20160830_192000_520_s15.jpg,243,0,265,162,1,5
ch1_20180615_203507_097_s23.jpg,457,0,481,162,1,4
ch1_20180615_203507_097_s23.jpg,484,0,508,162,1,4
ch1_20180615_203507_097_s23.jpg,457,0,488,162,1,4
ch1_20160830_195502_059_s68.jpg,1367,0,1380,162,1,4
ch1_20180602_210229_548_s91.jpg,917,0,950,162,1,4
ch1_20160830_191500_286_s7.jpg,280,0,295,162,1,4
ch1_20160830_191500_286_s7.jpg,549,0,575,162,1,4
ch1_20160830_191500_286_s7.jpg,649,0,670,162,1,4
ch1_20150902_233934_355_s51.jpg,541,0,571,162,1,5
ch1_20160815_203846_040_s42.jpg,1159,0,1181,162,1,4
ch1_20150902_235435_039_s87.jpg,800,0,825,162,1,4
ch1_20160830_192000_520_s133.jpg,1065,0,1083,162,1,4
ch1_20150902_234934_811_s95.jpg,302,0,319,162,1,5
ch1_20150902_234934_811_s95.jpg,355,0,380,162,1,6
ch1_20150902_234934_811_s95.jpg,451,0,468,162,1,4
ch1_20150902_234934_811_s95.jpg,609,0,629,162,1,5
ch1_20160830_192500_741_s44.jpg,85,0,107,162,1,4
ch1_20160830_190459_841_s116.jpg,1100,0,1123,162,1,4
ch1_20150902_230932_991_s50.jpg,1179,0,1201,162,1,7
ch1_20150902_230932_991_s50.jpg,659,0,683,162,1,4
ch1_20160830_193501_188_s62.jpg,1066,0,1084,162,1,4
ch1_20180615_202506_686_s13.jpg,485,0,514,162,1,4
ch1_20180615_202506_686_s13.jpg,762,0,788,162,1,4
ch1_20150902_231933_448_s118.jpg,11,0,34,162,1,4
ch1_20150902_231933_448_s118.jpg,809,0,838,162,1,4
ch1_20180602_204728_939_s86.jpg,967,0,986,162,1,4
ch1_20160815_205846_942_s43.jpg,381,0,406,162,1,4
ch1_20150902_233934_355_s51.jpg,542,0,575,162,1,6
ch1_20150902_233934_355_s51.jpg,185,0,201,162,1,4
ch1_20150902_231433_221_s52.jpg,949,0,975,162,1,4
ch1_20150902_231433_221_s52.jpg,1051,0,1086,162,1,4
ch1_20150902_234934_811_s125.jpg,795,0,815,162,1,4
ch1_20150902_230932_991_s50.jpg,484,0,519,162,1,4
ch1_20160815_205346_718_s116.jpg,184,0,196,162,1,4
ch1_20160815_205346_718_s116.jpg,498,0,518,162,1,4
ch1_20180602_203728_547_s115.jpg,463,0,488,162,1,4
ch1_20160830_191500_286_s118.jpg,715,0,740,162,1,4
ch1_20180602_203728_547_s27.jpg,1244,0,1265,162,1,7
ch1_20150902_235935_260_s29.jpg,408,0,427,162,1,4
ch1_20150902_235935_260_s29.jpg,793,0,819,162,1,4
ch1_20150902_230932_991_s93.jpg,1065,0,1085,162,1,4
ch1_20150902_232433_673_s44.jpg,49,0,62,162,1,4
ch1_20160815_211847_860_s103.jpg,1332,0,1367,162,1,4
ch1_20160830_192000_520_s11.jpg,718,0,738,162,1,4
ch1_20160815_211347_625_s88.jpg,72,0,85,162,1,4
ch1_20160815_211347_625_s88.jpg,106,0,116,162,1,4
ch1_20160815_211347_625_s88.jpg,179,0,191,162,1,4
ch1_20160815_211347_625_s88.jpg,134,0,146,162,1,4
ch1_20180602_210729_749_s100.jpg,1069,0,1085,162,1,4
ch1_20180602_210729_749_s100.jpg,1121,0,1146,162,1,4
ch1_20160830_200002_284_s74.jpg,1184,0,1210,162,1,4
ch1_20150902_233934_355_s45.jpg,365,0,438,162,1,7
ch1_20150902_232933_901_s1.jpg,393,0,419,162,1,5
ch1_20150902_230932_991_s109.jpg,135,0,164,162,1,4
ch1_20150902_232933_901_s27.jpg,249,0,275,162,1,4
ch1_20160830_200002_284_s74.jpg,1185,0,1204,162,1,4
ch1_20150902_230432_765_s7.jpg,1280,0,1317,162,1,4
ch1_20160830_192000_520_s11.jpg,718,0,737,162,1,4
ch1_20160830_194001_403_s143.jpg,823,0,843,162,1,4
ch1_20160830_194001_403_s143.jpg,1267,0,1291,162,1,5
ch1_20150902_231433_221_s44.jpg,1012,0,1039,162,1,7
ch1_20180615_195505_452_s129.jpg,974,0,1008,162,1,4
ch1_20180602_211730_150_s110.jpg,1029,0,1051,162,1,5
ch1_20150902_234934_811_s9.jpg,45,0,87,162,1,5
ch1_20180615_202506_686_s13.jpg,488,0,500,162,1,4
ch1_20180615_202506_686_s13.jpg,760,0,778,162,1,4
ch1_20180615_202506_686_s13.jpg,511,0,533,162,1,4
ch1_20180615_203006_889_s14.jpg,231,0,261,162,1,4
ch1_20160815_204346_270_s138.jpg,972,0,990,162,1,4
ch1_20160830_192000_520_s52.jpg,547,0,564,162,1,4
ch1_20160815_211347_625_s88.jpg,70,0,89,162,1,4
ch1_20160815_211347_625_s88.jpg,103,0,127,162,1,4
ch1_20160815_211347_625_s88.jpg,135,0,154,162,1,4
